text
"Министр финансов Украины Сергей Марченко призвал страны Группы семи (G7) ввести полное нефтегазовое эмбарго в отношении России в связи с проведением специальной военной операции. Он отметил, что если страны продолжат заниматься импортом российских энергоресурсов, Москва будет усиливать агрессию в отношении Киева."
"Федеральный суд штата Луизиана оставил в силе запрет на въезд мигрантов в США по санитарным соображениям, заблокировав решение администрации американского президента Джо Байдена об отмене этого положения. Судья принял решение, что запрет должен быть снят в обычном порядке, а не в ускоренном, с соблюдением процедур."
"Министерство обороны США отказалось подтверждать информацию о планируемой передаче Киеву американских зенитных ракетных комплексов (ЗРК) Patriot в рамках помощи Украине на 40,1 миллиарда долларов. 19 мая сенат Конгресса США одобрил законопроект о выделении рекордного пакета военной помощи для Украины."
"Аналитик Джош Оуэнс заявил, что западные санкции не смогли поставить на колени российскую экономику из-за ее уникальной роли. Об этом он написал в материале  для американского портала OilPrice."
"НАСА отложило стыковку Starliner с Международной космической станцией по меньшей мере еще на полчаса для проверки готовности стыковочного механизма. При этом отмечается, что корабль находится в отличном состоянии, а его сближение со станцией происходит в штатном режиме."
"Первый заместитель председателя комитета Совета федерации по обороне и безопасности Владимир Кожин назвал боевые вертолеты Ка-52 «Аллигатор» «рабочей лошадкой» ударной силы спецоперации на Украине. «Это самая настоящая ""рабочая лошадка"" российской ударной силы», — сказал он.<br />"
"Сотрудник департамента экономических и финансовых исследований CMS Institute Николай Переславский рассказал, какие страны преодолели инфляцию в последнее время. Переславский назвал Китай и Японию странами, преодолевшими «маховик инфляции», передает агентство «Прайм»."
"Профессор кафеды общей зоологии Университета Галле-Виттенберг Роберт Пакстон спрогнозировал вымирание пчел из-за нового вируса. Вирус разносят паразитические клещи варроа (Varroa), которые считаются одной из самых серьезных угроз для медоносных пчел в мире. Эти клещи проникают в улья и размножаются."
Президент США Джо Байден назначил пресс-секретаря Пентагона Джона Кирби на новую должность. Кирби станет координатором совета национальной безопасности по стратегическим коммуникациям. На этом посту он будет координировать межведомственные усилия по разъяснению американской политики.
"Глава МИД Венгрии Петер Сийярто объяснил зависимость от российской нефти. Он отметил, что страна не сможет закупать достаточно топлива без поставок из России. Министр добавил, что экономика Венгрии будет «уничтожена без российского газа». Он подчеркнул, что шестой пакет санкций ЕС создает огромные проблемы."
"Чешский журналист Ян Махачек заявил о согласии стран Евросоюза (ЕС) на обход собственных санкций, введенных против Москвы, покупая российский газ за рубли. Журналист напомнил, что еще совсем недавно ЕС отвергал условия Москвы по оплате голубого топлива, а теперь использование российской валюты приняли почти все страны."
"Главный редактор журнала «За рулем» Максим Кадаков рассказал, что в настоящее время российская национальная валюта отыграла падение, однако несмотря на это, россияне не наблюдают снижения стоимости европейских и американских автомобилей. Это вызвано трудностями с доставкой машин или запчастей к ним из-за санкций."
"Официальный представитель Пентагона Джон Кирби прокомментировал слова советника главы МВД Украины Антона Геращенко о том, что США хотят уничтожить российский Черноморский флот. «Могу с определенностью вам сказать, что это неправда», — подчеркнул пресс-секретарь министерства обороны."
"Доцент экономического факультета РУДН Сергей Черников напомнил, что цены на туристические направления растут к лету ежегодно. Эксперт заявил, что сейчас трудно выделить тенденции на рынке туризма, поскольку «все очень хаотично».  Однако Черников спрогнозировал подорожание летнего отдыха почти на треть, сообщает «Прайм»"
"Член Совета Федерации Алексей Пушков высказался о причинах продовольственного и энергетического кризиса в Европе. Он заявил, что эти явления спровоцировала попытка Запада «душить» Россию санкциями. По его словам, западные страны «проглядели» то, что глобализация — это взаимозависимость."
"Лидер республиканского меньшинства в сенате США Митч Макконнелл раскрыл детали нового пакета помощи Украине, заявив, что он может помочь открытию Одесского порта. «Надеюсь, чтобы оказать некоторое влияние на то, чтобы снова открыть Одесский порт», — сказал американский политик."
"Главный медицинский консультант британского Агентства по здравоохранению (UKHSA) Сьюзан Хопкинс рассказала, на какие симптомы стоит обратить внимание при заражении оспой обезьян.  «Поскольку вирус распространяется при тесном контакте, мы призываем обращать внимание на любые необычные высыпания на коже», — призвала она."
"Международное рейтинговое агентство Moody's Investors Service понизило долгосрочные рейтинги Украины в иностранной и национальной валюте с «Caa2» до «Caa3». Кроме того, организация изменила прогноз на негативный. Эксперты пояснили, что связано с рисками устойчивости украинского госдолга."
"Национальное управление по аэронавтике и исследованию космического пространства сообщило, что зонд «Вояджер-1», запущенный 44 года назад (в 1977 году), начал отправлять на Землю неверные данные. Зонд на данный момент находится на расстоянии 23 миллиардов километров от Земли."
"Власти Германии и Италии разрешили своим компаниям открывать счета в рублях для покупки российского газа, не нарушая санкции против Москвы. ФРГ действовала в этом вопросе в координации с ЕС. Италия также контактировала с Европейской комиссией и «получило от нее разъяснения, как законно покупать российский газ»."
"Замдиректора по научной работе ЦНИИ эпидемиологии Роспотребнадзора Александр Горелов назвал причину остановки производства вакцин «Ковивак» и «Эпиваккорона». Он сообщил, что на их выпуск не поступали заявки из регионов, только в отношении «Спутника V». Эксперт добавил, что медики не могут договориться о ревакцинации."
"Заслуженный юрист России Иван Соловьев рассказал, как определить ложный звонок «из полиции». Об этом он сообщил в беседе с агентством «Прайм». Соловьев заявил, что большинство звонков, которые поступают россиян от лица  якобы следователей или сотрудников полиции, являются ложными.<br />"
"Первый заместитель постоянного представителя РФ при ООН Дмитрий Полянский напомнил, что страны Запада оставляют за скобками то, что они сами спровоцировали мировой продовольственный кризис. Полянский обратил внимание на то, что еще до февраля этого года ситуация на продовольственных рынках была крайне тревожная."
"Главный специалист Гидрометцентра Марина Макарова заявила, что несмотря на прохладную погоду, нужно быть уже осторожным на солнце. По ее словам, регионы Центрального, Сибирского, Северо-Кавказского и Южного федеральных округов ожидает повышенный уровень ультрафиолетового излучения в ближайшие четыре дня."
"Три человека погибли в результате ракетной атаки Израиля на сирийскую столичную провинцию Дамаск. Удары были нанесены со стороны Голан, нанеся удары по некоторым пунктам на юге Дамаска. По данным министерства обороны Сирии, средства противовоздушной обороны ответили на ракеты противника и сбили большинство из них."
"Официальный представитель Госдепартамента Нед Прайс заявил, что подход Турции к процессу вступления Швеции и Финляндии в НАТО не является двусторонним вопросом Вашингтона и Анкары. «Мы по-прежнему уверены, что сможем достичь консенсуса в качестве альянса по процессу вступления Финляндии и Швеции», — добавил он."
"В России рассматривают возможность введения скидок при массовой отправке СМС. Такая инициатива поможет банкам сократить расходы, которые они несут из-за утраты возможности направлять push-уведомления. Новый тариф уже действует для ряда банков, пишут «Известия» со ссылкой на Минцифры."
"В странах Европы, США и Австралии подтвердили ряд случаев заражения оспой обезьян. Это редкая болезнь, которая передается от человека к человеку и может быть смертельной. Вирус известен с 1970-х годов, однако до сих пор за пределами Африки случаи заболевания были единичными. В мае 2022 года рни начали распространяться."
"Премьер-министр Великобритании Борис Джонсон провел разговор с турецким коллегой Реджепом Тайипом Эрдоганом, в ходе которого призвал его разрешить любые имеющиеся у него противоречия с Финляндией и Швецией до начала саммита Североатлантического альянса, который должен пройти в июне."
"Глава Чечни Рамзан Кадыров заявил, что у сдавшихся в плен украинских бойцов с завода «Азовсталь» нет духа и идеи. Кадыров рассказал, что погибло и получило ранения много обманутой украинскими боевиками молодежи, а они, «не стесняясь, сложили и сдались». «У них нет духа, нет идеи, поэтому они и сдались», — сказал он."
"Сотрудники Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека рассказали, что в случае появления угрозы распространения оспы обезьян в России будет применяться тест-система для выявления заболевания. Она предназначена «для поиска ортопоксвирусных инфекций»."
"Глава МИД Великобритании Лиз Трасс рассказала, что оборона не только Украины, но и Молдавии должна соответствовать стандартам НАТО, чтобы страна могла отразить вероятные нападения. По ее словам, Кишиневу необходимо направить современное вооружение на замену устаревшей советской технике."
"Обозреватель Bloomberg Рич Миллер заявил, что «трещины» в экономике США начинают проявляться по мере роста предупреждений о рецессии. Инвесторы обратили внимание, что цена акций на текущей неделе упала, а снижение доходов таких ритейлеров, как Walmart Inc. и Target Corp., усилило растущие опасения."
"Министр иностранных дел Венгрии Петер Сиярто нашел способ сохранить поставки российской нефти в Европейский союз (ЕС), предложив союзу ввести эмбарго на морские поставки российской нефти взамен наземных. По его словам, в таком случае экономики европейских стран  продолжат работать."
